Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released,Substance,Release Type,Significant,Marker,Year
INC2008-037,Release of Substance,04/18/2008,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.80823,-94.18954,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-039,Release of Substance,04/21/2008,Regina,Saskatchewan,"Plains Marketing Canada, L.P.",Closed,50.48057,-104.56646,4,Crude Oil - Sweet,Liquid,No,small_blue,2008
INC2008-040,Release of Substance,04/25/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.27973,-120.96341,Not Provided,Natural Gas - Sour,Gas,No,small_green,2008
INC2008-041,Release of Substance,04/25/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.33867,-121.87115,Not Provided,Natural Gas - Sour,Gas,No,small_green,2008
INC2008-043,Fire,05/01/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73115,-101.2355,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-045,Release of Substance,05/06/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63826,-108.3544,9.4,Crude Oil - Sweet,Liquid,No,small_blue,2008
INC2008-048,Release of Substance,05/12/2008,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48386,-104.61447,7,Crude Oil - Sweet,Liquid,No,small_blue,2008
INC2008-052,Fire,05/21/2008,Emerson,Manitoba,TransCanada PipeLines Limited,Closed,49.00106,-97.05547,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-055,"Release of Substance, Adverse Environmental Effects",05/31/2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.47564,-120.37265,0.1,Waste Oil,Liquid,No,small_blue,2008
INC2008-056,Release of Substance,06/05/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5431,-113.35401,8,Crude Oil - Sweet,Liquid,No,small_blue,2008
INC2008-057,Release of Substance,06/06/2008,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87378,-79.57985,270,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-058,Adverse Environmental Effects,06/09/2008,Not specified,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.21594,-66.71029,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2008
INC2008-060,Release of Substance,06/12/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Submitted,49.91204,-98.51757,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-062,Fire,06/24/2008,Moyie,British Columbia,TransCanada PipeLines Limited,Closed,49.28795,-115.83383,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-063,Fatality,06/25/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63833,-108.35487,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2008
INC2008-067,Release of Substance,07/06/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54745,-113.35577,40,Crude Oil - Synthetic,Liquid,No,small_blue,2008
INC2008-070,Release of Substance,07/17/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20731,-101.48747,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-072,Release of Substance,07/18/2008,Alameda,Saskatchewan,Alliance Pipeline Ltd.,Submitted,49.31834,-102.28983,800,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-075,Release of Substance,07/23/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5416,-113.36454,2,Diesel Fuel,Liquid,No,small_blue,2008
INC2008-078,Release of Substance,07/31/2008,Hearst,Ontario,TransCanada PipeLines Limited,Closed,49.79469,-85.85655,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-079,Release of Substance,08/08/2008,Herbert,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Closed,50.539202,-107.30766,0.5,Propane,Gas,No,small_green,2008
INC2008-080,Serious Injury (NEB or TSB),08/15/2008,Valemount,British Columbia,Trans Mountain Pipeline ULC,Closed,53.024796,-119.151198,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2008
INC2008-084,Fire,08/26/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.10223,-106.35299,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-085,Fire,09/04/2008,Not specified,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.44373,-107.37839,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-086,Release of Substance,08/28/2008,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.85542,-93.36393,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-091,Serious Injury (NEB or TSB),09/16/2008,Pennfield,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.1982,-66.6422,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2008
INC2008-092,Serious Injury (NEB or TSB),09/16/2008,Valemount,British Columbia,Trans Mountain Pipeline Inc.,Closed,52.83128,-119.2645,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2008
INC2008-095,Release of Substance,09/26/2008,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.68098,-95.37458,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-097,Fire,10/07/2008,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.33806,-79.24126,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-098,Release of Substance,10/16/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91211,-98.51757,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-103,Release of Substance,11/04/2008,Reynolds,Manitoba,TransCanada PipeLines Limited,Closed,49.65789,-96.16268,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-110,Release of Substance,11/21/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.20196,-121.5963,10,Condensate,Liquid,No,small_blue,2008
INC2008-112,Fire,11/26/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.03189,-123.03117,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-114,Release of Substance,12/02/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Closed,49.68017,-96.64917,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-115,Fire,12/02/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.63822,-121.65102,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2008-119,Release of Substance,12/08/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.032,-123.03098,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-120,Release of Substance,12/09/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,Closed,49.75544,-97.2305,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-121,Adverse Environmental Effects,12/10/2008,Goldboro,Nova Scotia,EnCana Corporation,Closed,45.18253,-61.65236,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2008
INC2008-123,Fire,12/17/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5474,-113.35571,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2008
INC2009-002,Release of Substance,01/15/2009,Lincoln,Ontario,TransCanada PipeLines Limited,Closed,43.11405,-79.46307,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2008-128,Release of Substance,01/13/2009,Hearst,Ontario,TransCanada PipeLines Limited,Closed,49.76492,-84.91824,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2009-009,Serious Injury (NEB or TSB),02/09/2009,White City,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.44344,-104.35655,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2009-010,Release of Substance,02/09/2009,Lincoln,Ontario,TransCanada PipeLines Limited,Closed,43.11368,-79.46307,Not Provided,Fuel Gas,Gas,No,small_green,2009
INC2009-015,"Serious Injury (NEB or TSB), Release of Substance",02/20/2009,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.72686,-121.81832,0.0001,Natural Gas - Sour,Gas,Yes,small_red,2009
INC2009-019,Release of Substance,03/05/2009,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91175,-98.51757,2.5,Lube Oil,Liquid,No,small_blue,2009
INC2009-021,Release of Substance,03/10/2009,Potter,Ontario,TransCanada PipeLines Limited,Closed,48.87172,-80.89396,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-024,Serious Injury (NEB or TSB),03/13/2009,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.97494,-82.40703,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2009-026,Release of Substance,03/23/2009,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,57.31724,-120.82153,Not Provided,Natural Gas - Sour,Gas,No,small_green,2009
INC2009-031,Release of Substance,04/07/2009,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.97941,-121.06074,Not Provided,Natural Gas - Sour,Gas,No,small_green,2009
INC2009-032,Release of Substance,04/08/2009,Mattice,Ontario,TransCanada PipeLines Limited,Closed,49.58574,-83.16712,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-034,Release of Substance,04/23/2009,Hamilton,Ontario,TransCanada PipeLines Limited,Closed,43.35064,-80.1193,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-037,Release of Substance,05/01/2009,Upsala,Ontario,TransCanada PipeLines Limited,Closed,49.03329,-90.51006,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-039,Release of Substance,05/07/2009,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.63705,-112.01828,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-040,Release of Substance,05/07/2009,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26849,-122.93134,305,Crude Oil - Sweet,Liquid,No,small_blue,2009
INC2009-041,Release of Substance,05/11/2009,Valleyview,Alberta,NOVA Gas Transmission Ltd.,Closed,54.93272,-117.25214,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-042,Release of Substance,05/14/2009,Not specified,Quebec,TransCanada PipeLines Limited,Closed,45.31394,-73.48289,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-045,Release of Substance,05/22/2009,Rosetown,Saskatchewan,Kinder Morgan Cochin ULC,Closed,51.55484,-107.996,6.36,Propane,Gas,No,small_green,2009
INC2009-048,Release of Substance,05/27/2009,Wandering River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.67738,-112.18288,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-049,Release of Substance,06/03/2009,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.63705,-112.01829,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-053,Release of Substance,06/22/2009,Loreburn,Saskatchewan,Alliance Pipeline Ltd.,Closed,51.2719,-106.75421,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-054,Release of Substance,06/28/2009,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.68123,-95.37458,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-055,Release of Substance,06/29/2009,Colborne,Ontario,Enbridge Pipelines Inc.,Closed,44.06958,-77.92945,1.8,Crude Oil - Sweet,Liquid,No,small_blue,2009
INC2009-056,Release of Substance,07/01/2009,Kobes,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.4929924,-121.335434,Not Provided,Natural Gas - Sour,Gas,No,small_green,2009
INC2009-057,Operation Beyond Design Limits,07/02/2009,Saint-Eustache,Quebec,Trans-Northern Pipelines Inc.,Closed,45.55865,-73.89602,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2009-058,"Fire, Release of Substance",07/05/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.728528,-111.6805,17000,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-060,Release of Substance,07/13/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.93456,-121.3121,4,Natural Gas - Sour,Gas,No,small_green,2009
INC2009-063,Release of Substance,07/15/2009,Smokey Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,54.09552,-112.31043,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-065,Fire,07/16/2009,Wainwright,Alberta,NOVA Gas Transmission Ltd.,Closed,52.75424,-110.74467,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-066,"Fire, Release of Substance",07/20/2009,Hay River,Alberta,NOVA Gas Transmission Ltd.,Closed,58.208389,-118.501722,1450000,Natural Gas - Sweet,Gas,Yes,small_green,2009
INC2009-067,Release of Substance,07/20/2009,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.26269,-65.98211,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-068,Release of Substance,07/21/2009,Crowsnest Pass,Alberta,NOVA Gas Transmission Ltd.,Closed,49.62622,-114.51601,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-072,Fire,07/24/2009,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.83306,-122.36517,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-075,Release of Substance,07/31/2009,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.12549,-117.83828,40,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-076,Release of Substance,08/04/2009,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.58571,-116.43392,2.9,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-078,Operation Beyond Design Limits,08/10/2009,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.97521,-82.40666,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2009-080,Fire,08/11/2009,Bowmanville,Ontario,TransCanada PipeLines Limited,Closed,43.96006,-78.81933,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-084,Release of Substance,08/24/2009,Williams Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,52.12922,-121.94289,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-086,Release of Substance,09/02/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.66911,-111.89811,0.5,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-087,Release of Substance,09/02/2009,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,59.05953,-119.89276,10,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-088,Release of Substance,09/02/2009,Burstall,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,50.65584,-109.90599,566.3,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-089,Release of Substance,09/03/2009,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,50.74862,-120.8587,12,Fuel Gas,Gas,No,small_green,2009
INC2009-090,Release of Substance,09/04/2009,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.8308,-118.64572,100,Fuel Gas,Gas,No,small_green,2009
INC2009-092,Fire,09/10/2009,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54735,-113.35571,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-095,"Explosion, Fire, Release of Substance",09/12/2009,Englehart,Ontario,TransCanada PipeLines Limited,Closed,47.912847,-79.987089,Not Provided,Natural Gas - Sweet,Gas,Yes,small_green,2009
INC2009-096,Release of Substance,09/13/2009,Ste. Anne,Manitoba,TransCanada PipeLines Limited,Submitted,49.71929,-96.98281,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-100,Explosion,09/14/2009,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87381,-79.58002,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-101,Fire,09/17/2009,Strome,Alberta,Enbridge Pipelines Inc.,Closed,52.93032,-112.07365,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-102,Release of Substance,09/18/2009,Fairview,Alberta,NOVA Gas Transmission Ltd.,Closed,56.36855,-119.92869,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-103,Release of Substance,09/18/2009,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.68123,-95.37477,0.1,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-104,Release of Substance,09/20/2009,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96117,-116.46306,63000,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-105,Release of Substance,09/22/2009,Glenboro,Manitoba,Enbridge Pipelines Inc.,Closed,49.544443,-99.320678,4.75,Crude Oil - Sweet,Liquid,No,small_blue,2009
INC2009-107,Fire,09/24/2009,Brookdale,Manitoba,TransCanada PipeLines Limited,Closed,50.04208,-99.65931,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-109,Release of Substance,09/26/2009,Marten River,Ontario,TransCanada PipeLines Limited,Closed,46.89733,-79.80783,Not Provided,Natural Gas - Sweet,Gas,Yes,small_green,2009
INC2009-111,Release of Substance,09/29/2009,Odessa,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.29138341,-103.8103553,175,Crude Oil - Synthetic,Liquid,No,small_blue,2009
INC2009-112,"Fire, Release of Substance",09/30/2009,Brampton,Ontario,2193914 Canada Limited,Closed,43.59893,-79.776,Not Provided,Natural Gas - Sweet,Gas,No,small_yellow,2009
INC2009-113,Release of Substance,10/05/2009,Marionville,Ontario,Trans-Northern Pipelines Inc.,Closed,45.16297,-75.37183,3,Gasoline,Liquid,No,small_blue,2009
INC2009-115,Release of Substance,10/16/2009,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.89349,-120.66962,Not Provided,Natural Gas - Sour,Gas,No,small_green,2009
INC2009-118,Release of Substance,10/20/2009,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,51.66922,-111.89792,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-119,Fire,10/22/2009,Camrose,Alberta,Enbridge Pipelines Inc.,Closed,52.93029,-112.07347,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-120,Release of Substance,10/23/2009,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,54.0438,-117.42069,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-121,Release of Substance,10/29/2009,Upsala,Ontario,TransCanada PipeLines Limited,Closed,49.03334,-90.51047,100,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-123,Release of Substance,11/01/2009,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.30706,-66.04267,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-126,Release of Substance,11/04/2009,Fairview,Alberta,NOVA Gas Transmission Ltd.,Closed,56.03467,-117.96587,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-128,Release of Substance,11/18/2009,Sackville,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.02461,-64.22321,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-129,Release of Substance,11/23/2009,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.26269,-65.98211,0.1,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-130,Serious Injury (NEB or TSB),10/17/2009,Not specified,Manitoba,Enbridge Pipelines Inc.,Closed,49.19043,-98.10794,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2009-132,Fire,12/04/2009,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.63213,-123.09505,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-133,Serious Injury (NEB or TSB),11/17/2009,Winkler,Manitoba,Enbridge Pipelines Inc.,Closed,49.10416,-97.93104,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2009
INC2009-134,Release of Substance,12/08/2009,Lloydminster,Saskatchewan,Husky Oil Limited,Closed,53.271222,-109.943083,3,Condensate,Liquid,No,small_blue,2009
INC2009-135,Fire,12/10/2009,Loreburn,Saskatchewan,Enbridge Pipelines Inc.,Submitted,51.1967,-106.57472,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-136,Release of Substance,12/10/2009,Moyie,British Columbia,TransCanada PipeLines Limited B.C. System,Closed,49.238462,-115.855313,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-137,Release of Substance,12/11/2009,Les Cedres,Quebec,TransCanada PipeLines Limited,Closed,45.37081,-74.12582,69,Natural Gas - Sweet,Gas,No,small_green,2009
INC2009-139,Operation Beyond Design Limits,12/14/2009,Hope,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,49.3825,-121.36469,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2009-140,Fire,12/16/2009,Drayton Valley,Alberta,NOVA Gas Transmission Ltd.,Closed,53.10063,-115.3622,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2009
INC2009-141,Operation Beyond Design Limits,12/11/2009,Olds,Alberta,NOVA Gas Transmission Ltd.,Closed,51.85163,-114.07574,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2009-144,Operation Beyond Design Limits,12/17/2009,Tieland,Alberta,NOVA Gas Transmission Ltd.,Closed,54.79071,-114.04358,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2009-145,Release of Substance,12/17/2009,Topland,Alberta,NOVA Gas Transmission Ltd.,Closed,54.54693,-114.79252,Not Provided,Natural Gas - Sour,Gas,No,small_green,2009
INC2009-147,Operation Beyond Design Limits,01/04/2010,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,58.44704,-119.22409,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2009
INC2010-001,Release of Substance,01/06/2010,Fort St. John,Alberta,NOVA Gas Transmission Ltd.,Closed,56.367553,-119.931713,125000,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-004,Adverse Environmental Effects,01/08/2010,Red Earth Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,56.86338,-114.70979,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-005,Operation Beyond Design Limits,01/16/2010,High Level,Alberta,NOVA Gas Transmission Ltd.,Closed,57.503,-116.45,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-006,Fire,01/18/2010,Belleville,Ontario,TransCanada PipeLines Limited,Closed,44.23202,-77.23148,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-009,Operation Beyond Design Limits,01/27/2010,Oakville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.46745,-79.68767,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-012,Release of Substance,01/31/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,55.88802,-112.12314,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-013,Operation Beyond Design Limits,02/01/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Submitted,52.09768,-110.69846,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2010
INC2010-014,Fire,02/01/2010,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.64172,-111.27087,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
INC2010-016,Release of Substance,02/08/2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83034,-118.64722,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-018,Release of Substance,02/09/2010,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.04188,-121.01874,Not Provided,Natural Gas - Sour,Gas,No,small_green,2010
INC2010-019,Release of Substance,02/12/2010,New River Beach,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.18676,-66.54595,300,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-021,Release of Substance,02/12/2010,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Closed,54.95425,-119.19227,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2010
INC2010-022,Release of Substance,02/16/2010,Taylor,British Columbia,Provident Energy Pipeline Inc.,Closed,56.14669,-120.66454,0.25,Mixed HVP Hydrocarbons,Gas,No,small_green,2010
INC2010-024,Fire,02/19/2010,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.64998,-122.20708,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2010
