Case,Region,Variable_French,Type,Year,Value
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2011,179.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2012,179.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2013,179.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2014,564.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2015,546.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2016,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2017,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2018,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2019,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2020,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2021,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2022,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2023,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2024,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2025,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2026,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2027,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2028,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2029,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2030,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2031,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2032,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2033,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2034,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2035,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2036,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2037,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2038,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2039,670.4
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2040,670.4
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2005,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2006,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2007,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2008,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2009,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2010,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2011,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2012,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2013,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2014,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2015,127.3682
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2016,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2017,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2018,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2019,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2020,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2021,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2022,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2023,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2024,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2025,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2026,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2027,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2028,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2029,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2030,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2031,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2032,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2033,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2034,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2035,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2036,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2037,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2038,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2039,127.3
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2040,127.3
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2005,68.62
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2006,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2007,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2008,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2009,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2010,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2011,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2012,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2013,66.12
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2014,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2015,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2016,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2017,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2018,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2019,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2020,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2021,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2022,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2023,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2024,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2025,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2026,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2027,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2028,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2029,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2030,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2031,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2032,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2033,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2034,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2035,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2036,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2037,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2038,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2039,112.56
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2040,112.56
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2005,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2006,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2007,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2008,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2009,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2010,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2011,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2012,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2013,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2014,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2015,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2016,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2017,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2018,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2019,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2020,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2021,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2022,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2023,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2024,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2025,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2026,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2027,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2028,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2029,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2030,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2031,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2032,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2033,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2034,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2035,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2036,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2037,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2038,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2039,22
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2040,22
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2005,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2006,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2007,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2008,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2009,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2010,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2011,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2012,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2013,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2014,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2015,15
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2016,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2017,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2018,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2019,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2020,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2021,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2022,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2023,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2024,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2025,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2026,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2027,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2028,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2029,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2030,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2031,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2032,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2033,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2034,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2035,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2036,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2037,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2038,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2039,0
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2040,0
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2005,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2006,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2007,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2008,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2009,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2010,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2011,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2012,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2013,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2014,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2015,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2016,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2017,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2018,2.1
Prix élevés,Île-du-Prince-Édouard,Biomasse / géothermique,Combustible Principal,2019,2.1
