Sector,Case,Region,Variable_English,Year,Value,Sector2
Electric Generation,Reference,Canada,RPP,2005,206.3553,Electric Generation
Electric Generation,Reference,Canada,RPP,2006,207.3941,Electric Generation
Electric Generation,Reference,Canada,RPP,2007,207.3942,Electric Generation
Electric Generation,Reference,Canada,RPP,2008,201.5114,Electric Generation
Electric Generation,Reference,Canada,RPP,2009,141.6266,Electric Generation
Electric Generation,Reference,Canada,RPP,2010,87.6908,Electric Generation
Electric Generation,Reference,Canada,RPP,2011,53.8502,Electric Generation
Electric Generation,Reference,Canada,RPP,2012,52.831,Electric Generation
Electric Generation,Reference,Canada,RPP,2013,54.72,Electric Generation
Electric Generation,Reference,Canada,RPP,2014,75.5011,Electric Generation
Electric Generation,Reference,Canada,RPP,2015,75.511,Electric Generation
Electric Generation,Reference,Canada,RPP,2016,64.3323,Electric Generation
Electric Generation,Reference,Canada,RPP,2017,51.2001,Electric Generation
Electric Generation,Reference,Canada,RPP,2018,50.683,Electric Generation
Electric Generation,Reference,Canada,RPP,2019,43.7988,Electric Generation
Electric Generation,Reference,Canada,RPP,2020,25.5065,Electric Generation
Electric Generation,Reference,Canada,RPP,2021,21.4861,Electric Generation
Electric Generation,Reference,Canada,RPP,2022,20.1231,Electric Generation
Electric Generation,Reference,Canada,RPP,2023,20.5663,Electric Generation
Electric Generation,Reference,Canada,RPP,2024,15.2975,Electric Generation
Electric Generation,Reference,Canada,RPP,2025,15.1943,Electric Generation
Electric Generation,Reference,Canada,RPP,2026,14.6123,Electric Generation
Electric Generation,Reference,Canada,RPP,2027,14.6862,Electric Generation
Electric Generation,Reference,Canada,RPP,2028,13.9989,Electric Generation
Electric Generation,Reference,Canada,RPP,2029,12.2728,Electric Generation
Electric Generation,Reference,Canada,RPP,2030,12.0001,Electric Generation
Electric Generation,Reference,Canada,RPP,2031,12.4273,Electric Generation
Electric Generation,Reference,Canada,RPP,2032,10.8121,Electric Generation
Electric Generation,Reference,Canada,RPP,2033,10.8077,Electric Generation
Electric Generation,Reference,Canada,RPP,2034,13.6093,Electric Generation
Electric Generation,Reference,Canada,RPP,2035,13.4835,Electric Generation
Electric Generation,Reference,Canada,RPP,2036,13.6929,Electric Generation
Electric Generation,Reference,Canada,RPP,2037,13.9095,Electric Generation
Electric Generation,Reference,Canada,RPP,2038,14.0894,Electric Generation
Electric Generation,Reference,Canada,RPP,2039,13.7108,Electric Generation
Electric Generation,Reference,Canada,RPP,2040,13.9054,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2005,1085.1611,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2006,1085.161,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2007,1085.1611,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2008,958.5464,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2009,816.656,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2010,763.8822,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2011,711.1781,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2012,580.2691,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2013,603.9056,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2014,562.1157,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2015,546.2296,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2016,613.872,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2017,572.1333,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2018,551.5274,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2019,541.1409,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2020,486.9858,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2021,428.2682,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2022,336.3273,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2023,266.5967,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2024,245.7381,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2025,235.7466,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2026,221.2659,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2027,213.2623,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2028,109.4093,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2029,106.9621,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2030,42.9211,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2031,45.1011,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2032,41.0718,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2033,39.1136,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2034,42.1652,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2035,39.8278,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2036,47.4034,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2037,27.1058,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2038,27.0497,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2039,27.59,Electric Generation
Electric Generation,Reference,Canada,"Coal, Coke and Coke Oven Gas",2040,31.2551,Electric Generation
Electric Generation,Reference,Canada,Hydro,2005,1294.967,Electric Generation
Electric Generation,Reference,Canada,Hydro,2006,1261.6854,Electric Generation
Electric Generation,Reference,Canada,Hydro,2007,1314.4937,Electric Generation
Electric Generation,Reference,Canada,Hydro,2008,1354.7979,Electric Generation
Electric Generation,Reference,Canada,Hydro,2009,1313.4391,Electric Generation
Electric Generation,Reference,Canada,Hydro,2010,1254.3025,Electric Generation
Electric Generation,Reference,Canada,Hydro,2011,1340.8994,Electric Generation
Electric Generation,Reference,Canada,Hydro,2012,1354.6305,Electric Generation
Electric Generation,Reference,Canada,Hydro,2013,1394.5127,Electric Generation
Electric Generation,Reference,Canada,Hydro,2014,1363.0038,Electric Generation
Electric Generation,Reference,Canada,Hydro,2015,1362.6109,Electric Generation
Electric Generation,Reference,Canada,Hydro,2016,1374.3968,Electric Generation
Electric Generation,Reference,Canada,Hydro,2017,1379.7604,Electric Generation
Electric Generation,Reference,Canada,Hydro,2018,1388.2012,Electric Generation
Electric Generation,Reference,Canada,Hydro,2019,1377.4179,Electric Generation
Electric Generation,Reference,Canada,Hydro,2020,1406.8097,Electric Generation
Electric Generation,Reference,Canada,Hydro,2021,1421.2191,Electric Generation
Electric Generation,Reference,Canada,Hydro,2022,1427.8962,Electric Generation
Electric Generation,Reference,Canada,Hydro,2023,1431.4669,Electric Generation
Electric Generation,Reference,Canada,Hydro,2024,1430.3626,Electric Generation
Electric Generation,Reference,Canada,Hydro,2025,1445.4469,Electric Generation
Electric Generation,Reference,Canada,Hydro,2026,1448.5744,Electric Generation
Electric Generation,Reference,Canada,Hydro,2027,1460.9717,Electric Generation
Electric Generation,Reference,Canada,Hydro,2028,1475.2698,Electric Generation
Electric Generation,Reference,Canada,Hydro,2029,1498.0772,Electric Generation
Electric Generation,Reference,Canada,Hydro,2030,1504.2158,Electric Generation
Electric Generation,Reference,Canada,Hydro,2031,1517.5469,Electric Generation
Electric Generation,Reference,Canada,Hydro,2032,1519.0561,Electric Generation
Electric Generation,Reference,Canada,Hydro,2033,1523.5043,Electric Generation
Electric Generation,Reference,Canada,Hydro,2034,1519.3306,Electric Generation
Electric Generation,Reference,Canada,Hydro,2035,1521.4576,Electric Generation
Electric Generation,Reference,Canada,Hydro,2036,1521.5161,Electric Generation
Electric Generation,Reference,Canada,Hydro,2037,1524.8812,Electric Generation
Electric Generation,Reference,Canada,Hydro,2038,1526.3309,Electric Generation
Electric Generation,Reference,Canada,Hydro,2039,1528.1055,Electric Generation
Electric Generation,Reference,Canada,Hydro,2040,1528.1949,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2005,1032.8394,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2006,1032.6862,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2007,1029.5324,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2008,953.4801,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2009,940.9488,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2010,955.0905,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2011,1048.2562,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2012,1020.4327,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2013,1117.6043,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2014,1189.9423,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2015,1127.4022,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2016,1214.3043,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2017,1153.8209,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2018,1043.0499,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2019,1043.0499,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2020,986.1113,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2021,986.1114,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2022,822.3379,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2023,782.4563,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2024,877.3008,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2025,732.5246,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2026,831.5498,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2027,854.5573,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2028,947.8507,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2029,876.0303,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2030,970.7984,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2031,898.9604,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2032,992.9995,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2033,992.9995,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2034,1087.0389,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2035,1087.0389,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2036,1087.0389,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2037,1087.0389,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2038,1087.0389,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2039,1087.0389,Electric Generation
Electric Generation,Reference,Canada,Nuclear,2040,1087.0389,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2005,196.8338,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2006,200.8359,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2007,204.408,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2008,193.3145,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2009,124.7117,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2010,292.5702,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2011,272.2051,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2012,277.136,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2013,288.574,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2014,329.6408,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2015,386.5152,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2016,351.0245,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2017,317.309,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2018,328.3973,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2019,337.8483,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2020,344.6852,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2021,350.8694,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2022,359.5046,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2023,369.6281,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2024,377.7359,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2025,389.4505,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2026,400.0199,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2027,409.1018,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2028,423.2919,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2029,428.3331,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2030,443.3699,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2031,446.9772,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2032,451.5816,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2033,458.5588,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2034,461.7856,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2035,463.4567,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2036,463.7449,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2037,467.8663,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2038,472.3529,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2039,478.1123,Electric Generation
Electric Generation,Reference,Canada,Other Renewables and Landfill Gas,2040,482.0758,Electric Generation
Less Electricity Secondary Demand,Reference,Canada,Total,2005,1836.3252,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2006,1813.9965,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2007,1863.3833,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2008,1857.1133,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2009,1776.1265,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2010,1815.9278,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2011,1846.5999,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2012,1856.5013,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2013,1891.0923,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2014,1895.096,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2015,1907.5689,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2016,1884.4197,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2017,1889.2054,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2018,1903.5999,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2019,1927.222,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2020,1958.5168,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2021,1978.506,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2022,1994.3448,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2023,2015.5339,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2024,2029.2014,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2025,2049.6703,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2026,2068.0433,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2027,2082.3339,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2028,2101.5863,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2029,2119.4794,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2030,2137.54,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2031,2155.9163,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2032,2170.5843,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2033,2186.4872,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2034,2201.4426,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2035,2217.0655,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2036,2233.6638,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2037,2247.2111,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2038,2258.2008,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2039,2269.2606,Less Electricity Secondary Demand
Less Electricity Secondary Demand,Reference,Canada,Total,2040,2278.4478,Less Electricity Secondary Demand
Primary Demand,Reference,Canada,Total,2005,12792.945,Primary Demand
Primary Demand,Reference,Canada,Total,2006,12791.1448,Primary Demand
Primary Demand,Reference,Canada,Total,2007,13183.467,Primary Demand
Primary Demand,Reference,Canada,Total,2008,12780.3868,Primary Demand
Primary Demand,Reference,Canada,Total,2009,12131.0972,Primary Demand
Primary Demand,Reference,Canada,Total,2010,12545.9116,Primary Demand
Primary Demand,Reference,Canada,Total,2011,12917.5065,Primary Demand
Primary Demand,Reference,Canada,Total,2012,12948.0663,Primary Demand
Primary Demand,Reference,Canada,Total,2013,13259.4231,Primary Demand
Primary Demand,Reference,Canada,Total,2014,13294.0789,Primary Demand
Primary Demand,Reference,Canada,Total,2015,13311.1167,Primary Demand
Primary Demand,Reference,Canada,Total,2016,13404.3175,Primary Demand
Primary Demand,Reference,Canada,Total,2017,13501.5169,Primary Demand
Primary Demand,Reference,Canada,Total,2018,13588.223,Primary Demand
Primary Demand,Reference,Canada,Total,2019,13648.9989,Primary Demand
Primary Demand,Reference,Canada,Total,2020,13668.6561,Primary Demand
Primary Demand,Reference,Canada,Total,2021,13741.542,Primary Demand
Primary Demand,Reference,Canada,Total,2022,13657.7751,Primary Demand
Primary Demand,Reference,Canada,Total,2023,13679.6795,Primary Demand
Primary Demand,Reference,Canada,Total,2024,13802.5928,Primary Demand
Primary Demand,Reference,Canada,Total,2025,13748.342,Primary Demand
Primary Demand,Reference,Canada,Total,2026,13850.6683,Primary Demand
Primary Demand,Reference,Canada,Total,2027,13861.5937,Primary Demand
Primary Demand,Reference,Canada,Total,2028,13937.185,Primary Demand
Primary Demand,Reference,Canada,Total,2029,13912.7551,Primary Demand
Primary Demand,Reference,Canada,Total,2030,14060.7477,Primary Demand
Primary Demand,Reference,Canada,Total,2031,14062.4588,Primary Demand
Primary Demand,Reference,Canada,Total,2032,14114.3269,Primary Demand
Primary Demand,Reference,Canada,Total,2033,14115.8697,Primary Demand
Primary Demand,Reference,Canada,Total,2034,14170.9146,Primary Demand
Primary Demand,Reference,Canada,Total,2035,14169.4701,Primary Demand
Primary Demand,Reference,Canada,Total,2036,14189.028,Primary Demand
Primary Demand,Reference,Canada,Total,2037,14187.5502,Primary Demand
Primary Demand,Reference,Canada,Total,2038,14189.6505,Primary Demand
Primary Demand,Reference,Canada,Total,2039,14195.3892,Primary Demand
Primary Demand,Reference,Canada,Total,2040,14199.3986,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2005,3559.4676,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2006,3566.3033,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2007,3763.3007,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2008,3752.8353,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2009,3626.677,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2010,3781.9339,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2011,4038.9096,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2012,4127.4006,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2013,4316.0763,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2014,4416.0155,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2015,4422.9841,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2016,4420.2491,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2017,4591.1413,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2018,4749.2051,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2019,4830.7871,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2020,4937.1226,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2021,5013.7843,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2022,5130.2911,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2023,5242.0666,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2024,5298.1762,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2025,5387.6289,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2026,5413.7934,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2027,5406.6502,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2028,5479.7568,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2029,5514.2423,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2030,5622.2115,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2031,5691.5493,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2032,5667.2976,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2033,5676.0982,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2034,5643.8001,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2035,5649.4615,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2036,5670.8841,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2037,5691.9594,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2038,5697.8351,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2039,5705.3287,Primary Demand
Primary Demand,Reference,Canada,Natural Gas,2040,5708.3734,Primary Demand
Primary Demand,Reference,Canada,RPP,2005,4765.7501,Primary Demand
Primary Demand,Reference,Canada,RPP,2006,4821.0799,Primary Demand
Primary Demand,Reference,Canada,RPP,2007,4960.1791,Primary Demand
Primary Demand,Reference,Canada,RPP,2008,4807.8972,Primary Demand
Primary Demand,Reference,Canada,RPP,2009,4617.1824,Primary Demand
Primary Demand,Reference,Canada,RPP,2010,4771.1798,Primary Demand
Primary Demand,Reference,Canada,RPP,2011,4767.8513,Primary Demand
Primary Demand,Reference,Canada,RPP,2012,4865.736,Primary Demand
Primary Demand,Reference,Canada,RPP,2013,4803.8112,Primary Demand
Primary Demand,Reference,Canada,RPP,2014,4721.6448,Primary Demand
Primary Demand,Reference,Canada,RPP,2015,4768.5299,Primary Demand
Primary Demand,Reference,Canada,RPP,2016,4741.7217,Primary Demand
Primary Demand,Reference,Canada,RPP,2017,4769.7205,Primary Demand
Primary Demand,Reference,Canada,RPP,2018,4814.0675,Primary Demand
Primary Demand,Reference,Canada,RPP,2019,4801.6223,Primary Demand
Primary Demand,Reference,Canada,RPP,2020,4785.4145,Primary Demand
Primary Demand,Reference,Canada,RPP,2021,4817.1695,Primary Demand
Primary Demand,Reference,Canada,RPP,2022,4857.1547,Primary Demand
Primary Demand,Reference,Canada,RPP,2023,4861.7029,Primary Demand
Primary Demand,Reference,Canada,RPP,2024,4847.9099,Primary Demand
Primary Demand,Reference,Canada,RPP,2025,4832.9411,Primary Demand
Primary Demand,Reference,Canada,RPP,2026,4812.4894,Primary Demand
Primary Demand,Reference,Canada,RPP,2027,4795.7036,Primary Demand
Primary Demand,Reference,Canada,RPP,2028,4781.5908,Primary Demand
Primary Demand,Reference,Canada,RPP,2029,4770.7362,Primary Demand
Primary Demand,Reference,Canada,RPP,2030,4761.0815,Primary Demand
Primary Demand,Reference,Canada,RPP,2031,4748.817,Primary Demand
Primary Demand,Reference,Canada,RPP,2032,4731.6778,Primary Demand
Primary Demand,Reference,Canada,RPP,2033,4717.8265,Primary Demand
Primary Demand,Reference,Canada,RPP,2034,4710.8254,Primary Demand
Primary Demand,Reference,Canada,RPP,2035,4704.1116,Primary Demand
